id,gender,age,income,marital,education,min_offer
2441,F,68,78000.0,married,tertiary education,26
2442,M,71,38000.0,married,upper secondary and post-secondary non-tertiary,65
2443,F,53,75000.0,married,tertiary education,98
2444,M,86,78000.0,married,tertiary education,46
2445,M,39,74000.0,married,tertiary education,40
2446,F,55,39000.0,married,tertiary education,73
2447,F,54,79000.0,divorced,tertiary education,41
2448,F,34,52000.0,married,tertiary education,67
2449,M,54,99000.0,single,below upper secondary,201
2450,M,63,32000.0,married,tertiary education,93
2451,F,74,67000.0,married,upper secondary and post-secondary non-tertiary,178
2452,M,68,74000.0,single,upper secondary and post-secondary non-tertiary,140
2453,M,69,30000.0,married,tertiary education,0
2454,F,50,81000.0,married,upper secondary and post-secondary non-tertiary,25
2455,F,78,31000.0,married,tertiary education,14
2456,M,40,74000.0,married,tertiary education,196
2457,M,24,48000.0,single,tertiary education,14
2458,M,54,89000.0,married,tertiary education,123
2459,F,46,65000.0,married,upper secondary and post-secondary non-tertiary,71
2460,F,71,108000.0,divorced,tertiary education,7
2461,M,50,59000.0,separated,tertiary education,81
2462,F,48,32000.0,single,upper secondary and post-secondary non-tertiary,44
2463,F,58,105000.0,single,upper secondary and post-secondary non-tertiary,0
2464,M,34,50000.0,single,tertiary education,111
2465,M,50,55000.0,married,tertiary education,0
2466,M,27,39000.0,single,upper secondary and post-secondary non-tertiary,15
2467,M,41,63000.0,single,upper secondary and post-secondary non-tertiary,124
2468,F,62,73000.0,married,upper secondary and post-secondary non-tertiary,0
2469,F,65,50000.0,married,upper secondary and post-secondary non-tertiary,67
2470,F,89,104000.0,married,upper secondary and post-secondary non-tertiary,0
2471,F,78,110000.0,married,tertiary education,99
2472,F,40,78000.0,married,tertiary education,0
2473,M,66,33000.0,married,upper secondary and post-secondary non-tertiary,5
2474,M,29,73000.0,single,tertiary education,0
2475,M,53,51000.0,single,below upper secondary,30
2476,M,23,41000.0,single,tertiary education,23
2477,M,71,38000.0,single,upper secondary and post-secondary non-tertiary,12
2478,F,81,89000.0,married,tertiary education,160
2479,M,45,44000.0,married,upper secondary and post-secondary non-tertiary,4
2480,F,52,78000.0,married,tertiary education,127
2481,M,70,64000.0,separated,tertiary education,168
2482,M,32,39000.0,single,upper secondary and post-secondary non-tertiary,44
2483,M,66,40000.0,married,tertiary education,5
2484,M,76,75000.0,married,tertiary education,0
2485,F,52,47000.0,single,below upper secondary,13
2486,M,53,90000.0,married,tertiary education,153
2487,M,78,70000.0,divorced,tertiary education,80
2488,M,67,60000.0,divorced,tertiary education,116
2489,F,70,87000.0,single,upper secondary and post-secondary non-tertiary,154
2490,M,63,93000.0,divorced,tertiary education,106
2491,M,69,55000.0,married,tertiary education,81
2492,M,40,65000.0,married,tertiary education,185
2493,F,19,39000.0,divorced,tertiary education,94
2494,F,50,90000.0,married,tertiary education,62
2495,F,54,105000.0,single,upper secondary and post-secondary non-tertiary,208
2496,M,90,55000.0,divorced,tertiary education,87
2497,F,79,42000.0,married,tertiary education,89
2498,M,54,37000.0,single,upper secondary and post-secondary non-tertiary,61
2499,M,44,89000.0,married,tertiary education,2
2500,M,62,86000.0,separated,tertiary education,0
2501,F,59,37000.0,single,upper secondary and post-secondary non-tertiary,58
2502,M,20,61000.0,single,upper secondary and post-secondary non-tertiary,177
2503,M,63,96000.0,married,upper secondary and post-secondary non-tertiary,21
2504,M,63,97000.0,single,upper secondary and post-secondary non-tertiary,78
2505,F,71,31000.0,divorced,tertiary education,0
2506,M,41,56000.0,married,tertiary education,121
2507,M,19,31000.0,married,tertiary education,0
2508,M,54,56000.0,single,upper secondary and post-secondary non-tertiary,0
2509,F,51,51000.0,married,tertiary education,70
2510,F,26,49000.0,single,tertiary education,44
2511,M,57,73000.0,divorced,tertiary education,37
2512,M,57,93000.0,married,tertiary education,64
2513,F,82,41000.0,married,tertiary education,63
2514,F,42,71000.0,single,upper secondary and post-secondary non-tertiary,41
2515,M,55,75000.0,married,tertiary education,0
2516,F,78,58000.0,divorced,tertiary education,4
2517,M,74,69000.0,single,upper secondary and post-secondary non-tertiary,130
2518,F,54,48000.0,married,tertiary education,22
2519,M,18,72000.0,divorced,tertiary education,0
2520,F,49,70000.0,married,tertiary education,77
2521,M,56,43000.0,married,upper secondary and post-secondary non-tertiary,64
2522,M,66,68000.0,married,upper secondary and post-secondary non-tertiary,158
2523,M,50,56000.0,single,upper secondary and post-secondary non-tertiary,68
2524,M,48,68000.0,married,tertiary education,23
2525,F,82,75000.0,married,upper secondary and post-secondary non-tertiary,110
2526,M,62,85000.0,divorced,tertiary education,146
2527,M,37,70000.0,married,tertiary education,67
2528,F,65,87000.0,married,upper secondary and post-secondary non-tertiary,83
2529,M,60,38000.0,married,upper secondary and post-secondary non-tertiary,47
2530,F,68,50000.0,married,tertiary education,46
2531,M,30,54000.0,married,tertiary education,67
2532,F,66,47000.0,married,upper secondary and post-secondary non-tertiary,0
2533,M,55,62000.0,married,tertiary education,0
2534,F,68,100000.0,married,tertiary education,16
2535,M,85,46000.0,divorced,tertiary education,75
2536,F,68,111000.0,married,tertiary education,139
2537,F,84,120000.0,single,below upper secondary,244
2538,F,64,95000.0,married,tertiary education,77
2539,F,77,35000.0,divorced,tertiary education,0
2540,M,45,35000.0,married,tertiary education,75
2541,F,26,73000.0,married,tertiary education,71
2542,M,37,65000.0,divorced,tertiary education,148
2543,M,65,94000.0,single,below upper secondary,150
2544,F,52,75000.0,married,tertiary education,239
2545,F,58,70000.0,widowed,tertiary education,54
2546,M,72,82000.0,married,upper secondary and post-secondary non-tertiary,155
2547,F,51,74000.0,married,upper secondary and post-secondary non-tertiary,139
2548,M,26,53000.0,single,tertiary education,23
2549,M,63,60000.0,married,tertiary education,49
2550,M,19,52000.0,separated,tertiary education,0
2551,F,44,40000.0,separated,tertiary education,0
2552,M,50,45000.0,single,below upper secondary,50
2553,F,64,69000.0,married,tertiary education,123
2554,M,45,57000.0,married,upper secondary and post-secondary non-tertiary,93
2555,F,29,31000.0,single,tertiary education,41
2556,M,59,73000.0,single,upper secondary and post-secondary non-tertiary,136
2557,F,79,83000.0,single,below upper secondary,34
2558,F,93,56000.0,married,tertiary education,40
2559,M,19,36000.0,divorced,tertiary education,62
2560,M,49,45000.0,divorced,tertiary education,64
2561,M,32,70000.0,married,tertiary education,55
2562,M,30,66000.0,single,upper secondary and post-secondary non-tertiary,153
2563,M,63,59000.0,married,tertiary education,0
2564,M,40,57000.0,divorced,tertiary education,27
2565,M,51,55000.0,single,upper secondary and post-secondary non-tertiary,39
2566,M,55,41000.0,single,upper secondary and post-secondary non-tertiary,74
2567,M,79,91000.0,married,tertiary education,91
2568,M,66,88000.0,divorced,tertiary education,0
2569,M,23,43000.0,single,tertiary education,65
2570,F,38,51000.0,married,tertiary education,106
2571,F,58,73000.0,single,upper secondary and post-secondary non-tertiary,126
2572,M,77,94000.0,single,below upper secondary,152
2573,F,59,114000.0,divorced,tertiary education,0
2574,F,44,72000.0,single,below upper secondary,7
2575,F,48,71000.0,married,upper secondary and post-secondary non-tertiary,105
2576,F,40,51000.0,divorced,tertiary education,48
2577,M,20,71000.0,single,tertiary education,108
2578,M,57,34000.0,married,upper secondary and post-secondary non-tertiary,0
2579,F,73,74000.0,married,tertiary education,69
2580,M,60,46000.0,single,upper secondary and post-secondary non-tertiary,0
2581,F,37,83000.0,single,upper secondary and post-secondary non-tertiary,0
2582,M,72,67000.0,separated,tertiary education,86
2583,F,71,35000.0,widowed,tertiary education,64
2584,M,36,44000.0,single,upper secondary and post-secondary non-tertiary,54
2585,F,48,87000.0,single,upper secondary and post-secondary non-tertiary,84
2586,F,27,71000.0,single,tertiary education,0
2587,F,39,69000.0,single,upper secondary and post-secondary non-tertiary,138
2588,M,40,58000.0,married,tertiary education,55
2589,F,93,79000.0,single,upper secondary and post-secondary non-tertiary,233
2590,F,51,84000.0,married,tertiary education,163
2591,F,88,120000.0,married,tertiary education,0
2592,F,62,50000.0,divorced,tertiary education,87
2593,M,32,68000.0,divorced,tertiary education,0
2594,F,80,59000.0,married,upper secondary and post-secondary non-tertiary,14
2595,M,36,62000.0,married,tertiary education,46
2596,M,68,73000.0,separated,tertiary education,66
2597,F,54,76000.0,married,tertiary education,106
2598,M,51,62000.0,married,tertiary education,0
2599,F,68,110000.0,married,tertiary education,0
2600,M,20,41000.0,single,tertiary education,65
2601,M,74,38000.0,separated,tertiary education,37
2602,M,34,51000.0,single,upper secondary and post-secondary non-tertiary,59
2603,M,44,51000.0,married,tertiary education,0
2604,F,64,79000.0,single,below upper secondary,65
2605,M,51,62000.0,divorced,tertiary education,6
2606,F,29,61000.0,married,tertiary education,4
2607,M,58,63000.0,single,upper secondary and post-secondary non-tertiary,121
2608,F,80,75000.0,widowed,tertiary education,0
2609,F,52,79000.0,single,below upper secondary,0
2610,M,44,67000.0,married,tertiary education,44
2611,F,71,56000.0,married,tertiary education,81
2612,O,49,80000.0,single,upper secondary and post-secondary non-tertiary,9
2613,M,58,53000.0,married,upper secondary and post-secondary non-tertiary,118
2614,F,30,37000.0,single,upper secondary and post-secondary non-tertiary,90
2615,F,37,59000.0,married,tertiary education,6
2616,F,32,47000.0,single,tertiary education,35
2617,M,42,59000.0,married,tertiary education,13
2618,M,33,59000.0,married,tertiary education,0
2619,F,63,112000.0,divorced,tertiary education,145
2620,F,42,64000.0,married,tertiary education,110
2621,F,44,87000.0,married,tertiary education,262
2622,M,37,31000.0,single,upper secondary and post-secondary non-tertiary,3
2623,M,64,52000.0,separated,tertiary education,121
2624,M,37,42000.0,married,tertiary education,98
2625,M,57,72000.0,single,below upper secondary,86
2626,M,67,34000.0,married,tertiary education,54
2627,M,67,98000.0,married,tertiary education,183
2628,M,28,52000.0,single,upper secondary and post-secondary non-tertiary,154
2629,M,42,56000.0,widowed,tertiary education,82
2630,M,65,68000.0,married,tertiary education,63
2631,M,65,60000.0,married,tertiary education,8
2632,M,24,38000.0,single,upper secondary and post-secondary non-tertiary,49
2633,F,58,95000.0,married,tertiary education,192
2634,F,58,77000.0,separated,tertiary education,95
2635,F,53,74000.0,married,tertiary education,16
2636,M,66,57000.0,married,tertiary education,62
2637,F,48,31000.0,married,upper secondary and post-secondary non-tertiary,26
2638,F,77,37000.0,married,tertiary education,46
2639,F,73,88000.0,married,tertiary education,0
2640,M,31,58000.0,separated,tertiary education,89
2641,M,52,86000.0,divorced,tertiary education,137
2642,F,60,60000.0,married,tertiary education,86
2643,F,76,90000.0,divorced,tertiary education,89
2644,M,40,65000.0,married,tertiary education,0
2645,M,53,49000.0,divorced,tertiary education,48
2646,M,61,62000.0,single,below upper secondary,127
2647,M,62,78000.0,married,upper secondary and post-secondary non-tertiary,10
2648,M,32,74000.0,married,tertiary education,0
2649,M,91,73000.0,single,upper secondary and post-secondary non-tertiary,0
2650,M,39,77000.0,married,tertiary education,101
2651,F,63,88000.0,married,tertiary education,120
2652,F,29,38000.0,single,upper secondary and post-secondary non-tertiary,71
2653,F,77,39000.0,divorced,tertiary education,36
2654,F,81,107000.0,married,tertiary education,0
2655,F,33,53000.0,single,upper secondary and post-secondary non-tertiary,9
2656,F,46,100000.0,single,upper secondary and post-secondary non-tertiary,181
2657,F,82,62000.0,single,below upper secondary,70
2658,F,21,40000.0,single,below upper secondary,65
2659,M,19,52000.0,married,tertiary education,74
2660,M,31,44000.0,single,upper secondary and post-secondary non-tertiary,34
2661,F,76,119000.0,divorced,tertiary education,98
2662,F,40,42000.0,married,tertiary education,119
2663,F,57,113000.0,married,tertiary education,159
2664,F,57,70000.0,divorced,tertiary education,60
2665,F,44,55000.0,married,tertiary education,80
2666,M,34,45000.0,married,tertiary education,55
2667,M,62,106000.0,single,upper secondary and post-secondary non-tertiary,0
2668,M,60,56000.0,married,upper secondary and post-secondary non-tertiary,92
2669,M,33,72000.0,single,upper secondary and post-secondary non-tertiary,203
2670,M,33,45000.0,married,tertiary education,9
2671,F,85,60000.0,single,upper secondary and post-secondary non-tertiary,147
2672,F,58,105000.0,divorced,tertiary education,78
2673,M,48,74000.0,single,upper secondary and post-secondary non-tertiary,95
2674,M,74,80000.0,married,tertiary education,165
2675,M,19,30000.0,married,tertiary education,8
2676,F,58,95000.0,married,upper secondary and post-secondary non-tertiary,213
2677,M,63,64000.0,married,upper secondary and post-secondary non-tertiary,0
2678,F,86,79000.0,single,upper secondary and post-secondary non-tertiary,9
2679,M,55,76000.0,separated,tertiary education,30
2680,M,47,98000.0,married,tertiary education,162
2681,M,68,38000.0,single,below upper secondary,25
2682,F,72,83000.0,single,below upper secondary,0
2683,M,69,77000.0,married,tertiary education,60
2684,M,78,35000.0,married,upper secondary and post-secondary non-tertiary,7
2685,M,46,48000.0,divorced,tertiary education,83
2686,M,67,50000.0,single,upper secondary and post-secondary non-tertiary,32
2687,M,93,41000.0,married,tertiary education,43
2688,M,58,96000.0,married,tertiary education,57
2689,F,42,90000.0,single,below upper secondary,129
2690,F,46,69000.0,married,upper secondary and post-secondary non-tertiary,56
2691,M,48,78000.0,married,upper secondary and post-secondary non-tertiary,103
2692,F,64,109000.0,married,upper secondary and post-secondary non-tertiary,0
2693,F,49,68000.0,married,tertiary education,74
2694,M,64,57000.0,married,upper secondary and post-secondary non-tertiary,80
2695,M,51,53000.0,married,tertiary education,42
2696,M,48,89000.0,divorced,tertiary education,148
2697,M,55,66000.0,married,tertiary education,114
2698,M,21,31000.0,single,upper secondary and post-secondary non-tertiary,71
2699,M,27,33000.0,single,tertiary education,36
2700,M,54,88000.0,divorced,tertiary education,0
2701,O,74,56000.0,divorced,tertiary education,0
2702,F,73,48000.0,single,upper secondary and post-secondary non-tertiary,0
2703,M,56,74000.0,married,upper secondary and post-secondary non-tertiary,71
2704,M,61,119000.0,married,tertiary education,100
2705,M,65,82000.0,single,upper secondary and post-secondary non-tertiary,104
2706,F,55,31000.0,married,tertiary education,11
2707,F,42,74000.0,married,tertiary education,19
2708,M,64,47000.0,divorced,tertiary education,73
2709,F,47,88000.0,married,tertiary education,145
2710,F,41,37000.0,married,tertiary education,27
2711,F,70,97000.0,married,upper secondary and post-secondary non-tertiary,93
2712,F,56,97000.0,divorced,tertiary education,136
2713,M,72,47000.0,married,tertiary education,70
2714,F,64,50000.0,married,tertiary education,0
2715,F,67,36000.0,married,tertiary education,10
2716,M,54,78000.0,divorced,tertiary education,0
2717,F,88,59000.0,married,tertiary education,29
2718,M,89,92000.0,single,upper secondary and post-secondary non-tertiary,166
2719,M,60,114000.0,married,tertiary education,176
2720,M,52,90000.0,single,upper secondary and post-secondary non-tertiary,0
2721,F,55,97000.0,married,tertiary education,146
2722,M,19,37000.0,married,upper secondary and post-secondary non-tertiary,40
2723,F,58,116000.0,divorced,tertiary education,58
2724,M,60,76000.0,married,tertiary education,0
2725,M,21,42000.0,single,tertiary education,34
2726,M,45,49000.0,single,upper secondary and post-secondary non-tertiary,82
2727,F,62,82000.0,married,upper secondary and post-secondary non-tertiary,0
2728,M,73,61000.0,single,below upper secondary,36
2729,M,50,73000.0,single,upper secondary and post-secondary non-tertiary,237
2730,M,39,48000.0,single,below upper secondary,80
2731,M,49,59000.0,married,tertiary education,74
2732,M,66,33000.0,married,tertiary education,8
2733,F,94,68000.0,married,tertiary education,21
2734,M,59,113000.0,single,below upper secondary,103
2735,F,58,91000.0,married,upper secondary and post-secondary non-tertiary,236
2736,M,36,47000.0,single,below upper secondary,68
2737,F,57,79000.0,married,upper secondary and post-secondary non-tertiary,10
2738,F,59,54000.0,married,tertiary education,117
2739,F,53,102000.0,divorced,tertiary education,72
2740,F,57,43000.0,married,tertiary education,115
2741,F,23,61000.0,single,tertiary education,26
2742,F,54,81000.0,married,tertiary education,0
2743,F,49,73000.0,single,upper secondary and post-secondary non-tertiary,85
2744,F,68,72000.0,widowed,tertiary education,142
2745,M,25,73000.0,single,tertiary education,148
2746,M,66,51000.0,single,upper secondary and post-secondary non-tertiary,59
2747,M,46,35000.0,single,upper secondary and post-secondary non-tertiary,0
2748,F,69,115000.0,separated,tertiary education,56
2749,F,55,75000.0,single,upper secondary and post-secondary non-tertiary,0
2750,F,39,42000.0,single,upper secondary and post-secondary non-tertiary,3
2751,M,41,78000.0,married,tertiary education,64
2752,F,82,87000.0,divorced,tertiary education,120
2753,M,52,55000.0,single,upper secondary and post-secondary non-tertiary,36
2754,F,69,87000.0,married,tertiary education,82
2755,M,73,46000.0,divorced,tertiary education,27
2756,M,51,34000.0,divorced,tertiary education,59
2757,M,70,36000.0,married,upper secondary and post-secondary non-tertiary,3
2758,M,49,47000.0,married,upper secondary and post-secondary non-tertiary,86
2759,M,53,32000.0,single,upper secondary and post-secondary non-tertiary,94
2760,F,65,83000.0,divorced,tertiary education,122
2761,F,51,81000.0,single,upper secondary and post-secondary non-tertiary,38
2762,M,66,72000.0,separated,tertiary education,33
2763,F,59,69000.0,divorced,tertiary education,152
2764,F,54,63000.0,married,tertiary education,0
2765,M,34,38000.0,single,below upper secondary,1
2766,M,71,60000.0,married,tertiary education,0
2767,O,75,60000.0,married,tertiary education,0
2768,F,56,82000.0,married,tertiary education,0
2769,M,72,65000.0,single,upper secondary and post-secondary non-tertiary,116
2770,M,46,42000.0,single,upper secondary and post-secondary non-tertiary,88
2771,M,76,80000.0,single,upper secondary and post-secondary non-tertiary,24
2772,M,68,99000.0,divorced,tertiary education,119
2773,M,26,52000.0,married,tertiary education,91
2774,M,56,57000.0,married,tertiary education,62
2775,F,61,73000.0,married,tertiary education,3
2776,F,91,53000.0,married,tertiary education,0
2777,F,68,71000.0,married,tertiary education,142
2778,F,71,82000.0,divorced,tertiary education,122
2779,F,58,32000.0,married,tertiary education,50
2780,M,21,44000.0,single,tertiary education,0
2781,M,26,64000.0,single,upper secondary and post-secondary non-tertiary,79
2782,M,60,71000.0,married,upper secondary and post-secondary non-tertiary,115
2783,F,54,102000.0,married,tertiary education,134
2784,F,48,72000.0,single,upper secondary and post-secondary non-tertiary,18
2785,M,90,56000.0,married,upper secondary and post-secondary non-tertiary,112
2786,F,57,71000.0,divorced,tertiary education,0
2787,M,66,32000.0,married,tertiary education,61
2788,F,55,93000.0,married,tertiary education,193
2789,M,52,71000.0,married,tertiary education,182
2790,M,61,63000.0,single,below upper secondary,41
2791,F,49,104000.0,married,tertiary education,0
2792,M,76,46000.0,single,upper secondary and post-secondary non-tertiary,82
2793,F,60,87000.0,single,below upper secondary,26
2794,M,52,80000.0,single,below upper secondary,83
2795,M,61,45000.0,married,tertiary education,30
2796,F,22,56000.0,single,upper secondary and post-secondary non-tertiary,5
2797,M,87,30000.0,married,tertiary education,39
2798,F,29,61000.0,single,tertiary education,0
2799,M,58,81000.0,married,tertiary education,128
2800,M,72,75000.0,married,tertiary education,2
2801,M,52,82000.0,married,tertiary education,0
2802,M,66,69000.0,married,upper secondary and post-secondary non-tertiary,65
2803,F,37,47000.0,married,tertiary education,67
2804,F,44,87000.0,married,tertiary education,137
2805,M,65,68000.0,single,upper secondary and post-secondary non-tertiary,123
2806,F,63,96000.0,married,tertiary education,0
2807,F,79,66000.0,married,tertiary education,0
2808,M,53,44000.0,single,upper secondary and post-secondary non-tertiary,48
2809,M,52,38000.0,separated,tertiary education,95
2810,F,64,118000.0,married,tertiary education,210
2811,F,63,64000.0,single,below upper secondary,185
2812,M,18,51000.0,married,tertiary education,24
2813,F,66,83000.0,married,tertiary education,105
2814,M,70,82000.0,married,tertiary education,0
2815,F,66,59000.0,separated,tertiary education,35
2816,F,42,98000.0,married,tertiary education,25
2817,F,75,68000.0,separated,tertiary education,24
2818,M,20,47000.0,single,upper secondary and post-secondary non-tertiary,28
2819,F,19,55000.0,married,upper secondary and post-secondary non-tertiary,55
2820,F,21,40000.0,single,tertiary education,40
2821,F,59,87000.0,divorced,tertiary education,134
2822,F,70,77000.0,married,tertiary education,87
2823,F,23,62000.0,single,upper secondary and post-secondary non-tertiary,40
2824,F,84,96000.0,married,upper secondary and post-secondary non-tertiary,45
2825,F,62,85000.0,single,upper secondary and post-secondary non-tertiary,58
2826,F,43,88000.0,single,upper secondary and post-secondary non-tertiary,48
2827,F,56,119000.0,single,upper secondary and post-secondary non-tertiary,177
2828,M,51,79000.0,married,upper secondary and post-secondary non-tertiary,147
2829,M,59,60000.0,married,upper secondary and post-secondary non-tertiary,136
2830,M,68,64000.0,married,tertiary education,12
2831,M,80,31000.0,married,tertiary education,45
2832,F,50,97000.0,widowed,tertiary education,0
2833,M,68,77000.0,married,tertiary education,105
2834,M,53,88000.0,married,tertiary education,183
2835,F,19,54000.0,married,upper secondary and post-secondary non-tertiary,45
2836,M,43,49000.0,married,tertiary education,101
2837,F,53,83000.0,married,upper secondary and post-secondary non-tertiary,0
2838,F,65,78000.0,married,tertiary education,8
2839,M,72,100000.0,married,upper secondary and post-secondary non-tertiary,86
2840,M,50,65000.0,married,tertiary education,131
2841,M,50,94000.0,married,upper secondary and post-secondary non-tertiary,54
2842,F,63,94000.0,single,below upper secondary,51
2843,M,40,68000.0,married,tertiary education,0
2844,F,54,43000.0,married,tertiary education,51
2845,M,47,35000.0,single,upper secondary and post-secondary non-tertiary,78
2846,M,40,38000.0,married,upper secondary and post-secondary non-tertiary,64
2847,M,59,45000.0,married,tertiary education,76
2848,M,38,77000.0,married,tertiary education,61
2849,F,52,63000.0,married,tertiary education,27
2850,F,81,86000.0,single,below upper secondary,144
2851,F,79,53000.0,married,upper secondary and post-secondary non-tertiary,51
2852,M,47,50000.0,single,below upper secondary,41
2853,F,84,96000.0,single,upper secondary and post-secondary non-tertiary,182
2854,F,73,65000.0,single,upper secondary and post-secondary non-tertiary,52
2855,M,90,89000.0,married,tertiary education,14
2856,M,54,66000.0,married,tertiary education,126
2857,F,80,109000.0,married,tertiary education,117
2858,M,58,71000.0,married,tertiary education,0
2859,M,60,52000.0,married,tertiary education,0
2860,M,82,96000.0,married,tertiary education,105
2861,M,48,77000.0,married,upper secondary and post-secondary non-tertiary,256
2862,M,49,81000.0,married,tertiary education,49
2863,F,54,89000.0,divorced,tertiary education,59
2864,M,57,34000.0,married,tertiary education,85
2865,O,39,42000.0,married,tertiary education,39
2866,M,74,65000.0,married,tertiary education,0
2867,F,42,51000.0,single,below upper secondary,0
2868,F,52,44000.0,married,tertiary education,97
2869,M,53,64000.0,married,tertiary education,106
2870,F,57,51000.0,married,tertiary education,93
2871,M,60,82000.0,married,tertiary education,77
2872,M,52,64000.0,divorced,tertiary education,17
2873,M,77,54000.0,married,tertiary education,42
2874,M,31,68000.0,single,upper secondary and post-secondary non-tertiary,77
2875,M,45,55000.0,single,upper secondary and post-secondary non-tertiary,8
2876,F,36,52000.0,married,tertiary education,81
2877,M,86,73000.0,married,upper secondary and post-secondary non-tertiary,0
2878,F,62,44000.0,single,upper secondary and post-secondary non-tertiary,29
2879,F,53,91000.0,single,below upper secondary,72
2880,M,45,50000.0,married,tertiary education,15
2881,F,47,64000.0,married,tertiary education,0
2882,F,64,71000.0,single,upper secondary and post-secondary non-tertiary,102
2883,F,50,33000.0,divorced,tertiary education,8
2884,F,72,74000.0,single,upper secondary and post-secondary non-tertiary,172
2885,F,22,36000.0,single,upper secondary and post-secondary non-tertiary,23
2886,M,41,47000.0,divorced,tertiary education,21
2887,M,48,51000.0,married,tertiary education,55
2888,M,48,58000.0,married,upper secondary and post-secondary non-tertiary,119
2889,M,56,85000.0,married,tertiary education,37
2890,F,48,59000.0,married,upper secondary and post-secondary non-tertiary,118
2891,M,55,42000.0,divorced,tertiary education,102
2892,M,69,41000.0,separated,tertiary education,81
2893,F,64,66000.0,divorced,tertiary education,173
2894,M,51,75000.0,married,tertiary education,171
2895,M,26,61000.0,single,tertiary education,153
2896,M,40,59000.0,married,upper secondary and post-secondary non-tertiary,153
2897,M,52,81000.0,single,upper secondary and post-secondary non-tertiary,97
2898,M,87,45000.0,single,upper secondary and post-secondary non-tertiary,25
2899,M,82,72000.0,married,tertiary education,0
2900,M,63,39000.0,divorced,tertiary education,0
2901,M,53,82000.0,single,upper secondary and post-secondary non-tertiary,45
2902,F,80,116000.0,divorced,tertiary education,71
2903,M,45,35000.0,married,tertiary education,29
2904,M,50,84000.0,married,tertiary education,0
2905,M,59,63000.0,married,tertiary education,0
2906,F,55,107000.0,single,upper secondary and post-secondary non-tertiary,93
2907,F,36,70000.0,married,tertiary education,56
2908,M,62,73000.0,married,tertiary education,14
2909,M,92,38000.0,married,tertiary education,9
2910,F,28,58000.0,single,below upper secondary,3
2911,F,59,78000.0,divorced,tertiary education,47
2912,F,69,52000.0,divorced,tertiary education,7
2913,F,40,57000.0,married,upper secondary and post-secondary non-tertiary,128
2914,M,63,105000.0,married,tertiary education,130
2915,M,46,74000.0,married,tertiary education,2
2916,F,77,83000.0,married,tertiary education,59
2917,M,58,91000.0,separated,tertiary education,0
2918,F,56,73000.0,divorced,tertiary education,146
2919,M,67,62000.0,single,upper secondary and post-secondary non-tertiary,147
2920,M,54,69000.0,married,tertiary education,155
2921,F,77,70000.0,single,below upper secondary,0
2922,M,68,33000.0,single,below upper secondary,29
2923,O,28,30000.0,single,tertiary education,17
2924,F,33,73000.0,single,tertiary education,114
2925,F,41,60000.0,married,tertiary education,0
2926,M,55,94000.0,married,tertiary education,30
2927,F,50,59000.0,married,tertiary education,34
2928,F,73,84000.0,divorced,tertiary education,96
2929,M,66,31000.0,married,upper secondary and post-secondary non-tertiary,52
2930,M,77,57000.0,married,tertiary education,38
2931,F,57,55000.0,married,upper secondary and post-secondary non-tertiary,91
2932,M,54,41000.0,married,tertiary education,74
2933,F,62,89000.0,married,upper secondary and post-secondary non-tertiary,70
2934,F,58,116000.0,married,tertiary education,0
2935,M,34,72000.0,single,upper secondary and post-secondary non-tertiary,0
2936,M,57,67000.0,married,tertiary education,106
2937,F,36,58000.0,married,tertiary education,30
2938,F,38,58000.0,single,upper secondary and post-secondary non-tertiary,0
2939,M,59,36000.0,divorced,tertiary education,58
2940,F,48,118000.0,married,tertiary education,133
2941,M,56,72000.0,married,upper secondary and post-secondary non-tertiary,0
2942,M,81,76000.0,married,tertiary education,165
2943,M,78,62000.0,divorced,tertiary education,113
2944,M,31,51000.0,divorced,tertiary education,58
2945,M,23,33000.0,single,tertiary education,0
2946,M,76,58000.0,married,upper secondary and post-secondary non-tertiary,0
2947,F,61,78000.0,married,upper secondary and post-secondary non-tertiary,54
2948,F,38,72000.0,single,upper secondary and post-secondary non-tertiary,0
2949,M,53,52000.0,married,tertiary education,73
2950,M,53,84000.0,divorced,tertiary education,0
2951,M,67,87000.0,married,tertiary education,101
2952,F,77,87000.0,single,upper secondary and post-secondary non-tertiary,61
2953,M,73,80000.0,married,upper secondary and post-secondary non-tertiary,136
2954,F,64,58000.0,divorced,tertiary education,3
2955,M,67,89000.0,married,tertiary education,113
2956,M,54,31000.0,married,tertiary education,0
2957,F,67,92000.0,single,below upper secondary,165
2958,M,78,78000.0,divorced,tertiary education,69
2959,M,66,70000.0,married,tertiary education,104
2960,M,34,44000.0,single,below upper secondary,0
2961,M,49,82000.0,married,upper secondary and post-secondary non-tertiary,122
2962,M,24,57000.0,single,upper secondary and post-secondary non-tertiary,74
2963,M,59,102000.0,married,tertiary education,139
2964,M,61,53000.0,married,tertiary education,69
2965,M,33,64000.0,single,upper secondary and post-secondary non-tertiary,51
2966,M,66,35000.0,married,tertiary education,78
2967,F,83,104000.0,separated,tertiary education,87
2968,M,54,109000.0,single,below upper secondary,28
2969,F,62,96000.0,divorced,tertiary education,90
2970,F,65,112000.0,separated,tertiary education,5
2971,M,75,79000.0,married,tertiary education,42
2972,F,44,84000.0,married,tertiary education,69
2973,M,74,67000.0,married,tertiary education,41
2974,F,60,86000.0,single,below upper secondary,103
2975,M,26,73000.0,single,tertiary education,215
2976,F,57,66000.0,married,upper secondary and post-secondary non-tertiary,103
